time_days,gas_rate_m3_day,cumulative_gas_m3,oil_rate_m3_day,cumulative_oil_m3,field_pressure_bar,water_cut_fraction,water_injection_rate_m3_day,cumulative_injected_water_m3,water_rate_m3_day,cumulative_water_m3
880.0,72146.3984375,206744016.0,19.484071731567383,45782.29296875,271.043212890625,0.00538291921839118,328.3861389160156,952703.0625,0.10544880479574203,185.89663696289062
900.0,70392.8828125,208151872.0,19.09431266784668,46164.17578125,270.9918212890625,0.0054367114789783955,325.98699951171875,959222.8125,0.10437773913145065,187.98419189453125
920.0,68870.984375,209529296.0,18.766529083251953,46539.5078125,270.96820068359375,0.0054902248084545135,324.10968017578125,965705.0,0.10360126197338104,190.05621337890625
940.0,67595.9140625,210881216.0,18.505674362182617,46909.62109375,270.9682922363281,0.005543526262044907,322.65203857421875,972158.0625,0.10315855592489243,192.119384765625
960.0,66519.59375,212211600.0,18.300168991088867,47275.625,270.9888000488281,0.0055966805666685104,321.5257568359375,978588.5625,0.10299663990736008,194.1793212890625
980.0,65600.4453125,213523616.0,18.13974380493164,47638.41796875,271.02899169921875,0.005649751517921686,320.6471862792969,985001.5,0.10306735336780548,196.24066162109375
1000.0,64800.75390625,214819632.0,18.015029907226562,47998.71875,271.0867004394531,0.0057027991861104965,319.91314697265625,991399.75,0.10332534462213516,198.3071746826172
1020.0,64200.91015625,216103648.0,17.948320388793945,48357.6875,271.1596374511719,0.005755907390266657,319.27227783203125,997785.1875,0.10390694439411163,200.38531494140625
1040.0,63720.53125,217378064.0,17.918550491333008,48716.05859375,271.2433166503906,0.005809003487229347,318.7423095703125,1004160.0625,0.1046971008181572,202.47926330566406
1060.0,63309.0078125,218644240.0,17.91248321533203,49074.30859375,271.34063720703125,0.0058622644282877445,318.291015625,1010525.875,0.10562692582607269,204.591796875
1080.0,62923.828125,219902720.0,17.91936492919922,49432.6953125,271.44744873046875,0.005915768910199404,317.8944091796875,1016883.75,0.10663766413927078,206.72454833984375
1100.0,62619.078125,221155088.0,17.954992294311523,49791.79296875,271.5617370605469,0.005969594232738018,317.538818359375,1023234.5625,0.10782770067453384,208.881103515625
1120.0,62351.29296875,222402128.0,18.0086727142334,50151.96875,271.6824951171875,0.00602380745112896,317.1944580078125,1029578.4375,0.10913820564746857,211.06387329101562
1140.0,62075.83984375,223643632.0,18.067726135253906,50513.32421875,271.8099060058594,0.00607847748324275,316.84674072265625,1035915.375,0.1104959100484848,213.27378845214844
1160.0,61899.3359375,224881632.0,18.162466049194336,50876.5703125,271.93939208984375,0.006133635528385639,316.50665283203125,1042245.5,0.11208946257829666,215.5155792236328
1180.0,61763.6796875,226116896.0,18.272926330566406,51242.03125,272.07098388671875,0.006189131643623114,316.1860046386719,1048569.1875,0.1137978583574295,217.79153442382812
1200.0,61617.14453125,227349248.0,18.388952255249023,51609.80859375,272.2059326171875,0.006245333701372147,315.8757629394531,1054886.75,0.11556689441204071,220.10287475585938
1220.0,61467.359375,228578592.0,18.51080894470215,51980.02734375,272.34344482421875,0.006302334368228912,315.5305480957031,1061197.375,0.11740121245384216,222.45089721679688
1240.0,61296.05859375,229804512.0,18.636001586914062,52352.74609375,272.4831237792969,0.006360187660902739,315.0888366699219,1067499.125,0.1192871630191803,224.83663940429688
1260.0,61081.796875,231026144.0,18.76006317138672,52727.9453125,272.62530517578125,0.006418963894248009,314.63397216796875,1073791.75,0.1211981251835823,227.26060485839844
1285.0,60844.875,232547264.0,18.944059371948242,53201.546875,272.8053283691406,0.006494046188890934,314.0577392578125,1081643.25,0.1238277405500412,230.35629272460938
1310.0,60623.17578125,234062848.0,19.153505325317383,53680.38671875,272.987060546875,0.006571035832166672,313.4716491699219,1089480.0,0.12669086456298828,233.5235595703125
1335.0,60419.80078125,235573344.0,19.389175415039062,54165.1171875,273.16961669921875,0.006650218740105629,312.8708801269531,1097301.75,0.12980549037456512,236.76870727539062
1360.0,60293.95703125,237080688.0,19.67032241821289,54656.875,273.3521728515625,0.006731926463544369,312.2806701660156,1105108.875,0.13331663608551025,240.10162353515625
1385.0,60140.328125,238584192.0,19.96378517150879,55155.96875,273.5383605957031,0.006816379260271788,311.67803955078125,1112900.75,0.13701467216014862,243.5269775390625
1410.0,59951.10546875,240082976.0,20.276525497436523,55662.8828125,273.7248229980469,0.006903366651386023,311.0589904785156,1120677.25,0.1409493237733841,247.05072021484375
1435.0,59793.2265625,241577808.0,20.633333206176758,56178.71484375,273.90960693359375,0.006993764080107212,310.4248046875,1128437.875,0.14532101154327393,250.68374633789062
1460.0,59605.7890625,243067952.0,21.004663467407227,56703.83203125,274.0939636230469,0.0070873345248401165,309.7741394042969,1136182.25,0.14992967247962952,254.43199157714844
1485.0,59391.65234375,244552736.0,21.401575088500977,57238.87109375,274.2779846191406,0.007184762042015791,308.9849853515625,1143906.875,0.15487799048423767,258.3039245605469
1510.0,59296.7421875,246035168.0,21.87203025817871,57785.671875,274.4593505859375,0.007287184242159128,308.25787353515625,1151613.25,0.16055549681186676,262.31781005859375
1535.0,59134.7890625,247513536.0,22.36993408203125,58344.91796875,274.63970947265625,0.007395011372864246,307.5600891113281,1159302.25,0.16665835678577423,266.4842834472656
1560.0,58902.828125,248986096.0,22.905778884887695,58917.5625,274.8247985839844,0.007508917711675167,306.8634948730469,1166973.875,0.1732988953590393,270.8167419433594
1585.0,58669.26953125,250452832.0,23.503007888793945,59505.140625,275.0101013183594,0.007629293482750654,306.20477294921875,1174629.0,0.18068987131118774,275.3340148925781
1610.0,58359.98828125,251911840.0,24.134775161743164,60108.5078125,275.1984558105469,0.007755731698125601,305.5610046386719,1182268.0,0.18864591419696808,280.0501403808594
